DateTime,Condition,Rain,MaxTemp,MinTemp,Avg_Temp,,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure
365,Cloudy,0.00,9,7,8,,3:50:00,14:45:00,31,67,1021
364,Cloudy,1.19,7,7,7,,1:39:00,13:44:00,9,74,1023
363,Overcast,7.46,8,7,7.5,,12:31:00,13:14:00,13,78,1020
362,Sunny,0.01,8,5,6.5,,,0:43:00,6,65,1023
361,Partly cloudy,0.41,7,3,5,,23:22:00,0:9:00,9,65,1024
360,Partly cloudy,0.33,5,4,4.5,,22:10:00,11:31:00,17,61,1024
359,Overcast,18.56,12,5,8.5,,20:57:00,10:46:00,25,73,1018
358,Partly cloudy,0.03,14,10,12,,19:45:00,9:53:00,22,70,1016
357,Partly cloudy,0.56,12,10,11,,18:37:00,8:52:00,19,75,1021
356,Sunny,0.00,11,7,9,,17:38:00,7:45:00,17,76,1023
355,Sunny,0.00,9,5,7,,16:46:00,6:35:00,6,78,1027
354,Partly cloudy,0.06,6,3,4.5,,16:4:00,5:26:00,15,80,1028
353,Overcast,3.99,7,3,5,,15:28:00,4:18:00,38,85,1021
352,Overcast,3.88,11,9,10,,14:56:00,3:14:00,27,89,1016
351,Cloudy,0.00,12,11,11.5,,14:27:00,2:11:00,5,84,1014
350,Partly cloudy,0.00,13,11,12,,14:0:00,1:11:00,11,75,1015
349,Partly cloudy,0.00,13,11,12,,14:0:00,1:11:00,11,75,1015
348,Overcast,0.00,10,7,8.5,,13:5:00,,10,68,1021
347,Sunny,0.00,9,6,7.5,,0:35:00,23:14:00,15,53,1022
346,Partly cloudy,4.51,7,6,6.5,,0:2:00,22:16:00,16,68,1017
345,Cloudy,6.20,9,7,8,,11:25:00,21:20:00,17,72,1011
344,Partly cloudy,7.16,12,9,10.5,,10:43:00,20:24:00,20,83,1004
343,Cloudy,0.00,13,10,11.5,,9:55:00,19:32:00,15,56,1011
342,Sunny,0.00,10,5,7.5,,9:1:00,18:43:00,9,54,1016
341,Sunny,0.05,6,5,5.5,,8:3:00,17:59:00,15,59,1023
340,Overcast,0.00,8,6,7,,7:1:00,17:19:00,37,76,1021
339,Overcast,7.39,12,9,10.5,,5:57:00,16:43:00,27,87,1015
